index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorHigh,LastSoldYear,SizeRank,yearly_price_delta,yearly_price_delta_percent
820,3.0,2.0,1547.0, Medium,Single Family Home,27.0,1956.0,25.684207,-80.310772,Pinecrest,Miami-Dade County,X   (),False,2020,3187,-14604.0,0.4871445486482235
821,3.0,2.5,1622.0, Medium,Townhome,2.0,2015.0,26.59041,-80.128456,Lake Worth,Palm Beach County,X   (),False,2019,593,-12803.681818181818,0.05675448633094364
822,3.0,2.5,1660.0, Medium,Single Family Home,11.0,1997.0,26.577253,-80.13300500000003,Lake Worth,Palm Beach County,X   (),True,2016,593,-14087.654545454548,-0.18978986020861893
823,3.0,2.0,1443.0, Medium,Condo,128.0,1987.0,26.199508,-80.25576600000002,Tamarac,Broward County,X   (),False,1999,401,1113.136363636362,0.7037815329425932
824,3.0,2.5,1417.0, Medium,Townhome,114.0,2006.0,26.202798,-80.251379,Tamarac,Broward County,X500   (),False,2006,401,1757.6,0.21260560509598447
825,3.0,3.0,3836.0, Medium,Single Family Home,9.0,1985.0,26.214521,-80.263757,Tamarac,Broward County,AH   (),False,2010,401,2718.363636363636,0.4028459721080793
826,3.0,3.5,1862.0, Medium,Condo,1021.0,2004.0,25.842794,-80.122788,Miami Beach,Miami-Dade County,AE   (),True,2010,636,-2583.090909090908,0.15549692877528545
827,4.0,3.5,3795.0, Low,Single Family Home,8.0,2018.0,27.777354,-82.429405,Apollo Beach,Hillsborough County,AE   (),True,2018,5376,768.2121212121237,0.5172463474234288
828,4.0,3.0,3256.0, Low,Single Family Home,161.0,1988.0,27.769018,-82.412369,Apollo Beach,Hillsborough County,AE   (),True,2020,5376,-17147.909090909092,1.2346889868887634
829,4.0,3.0,2790.0, Medium,Single Family Home,55.0,2014.0,27.780161,-82.380489,Apollo Beach,Hillsborough County,X   (),False,2014,5376,-5007.610389610389,0.4018709788158685
830,4.0,3.5,4760.0, Low,Single Family Home,185.0,2020.0,27.756128000000004,-82.429225,Apollo Beach,Hillsborough County,AE   (),True,2018,5376,-93799.96969696971,-0.7247468494291184
831,4.0,3.0,2383.0, N/A,Single Family Home,29.0,2015.0,27.769326,-82.374996,Apollo Beach,Hillsborough County,X   (),False,2019,5376,-17239.636363636364,-0.030340310863775977
832,3.0,2.0,2120.0, Low,Single Family Home,19.0,1988.0,28.123606,-80.58638499999998,Indialantic,Brevard County,X   (),True,2003,7213,-3342.4141414141413,-0.3300287049776241
