index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorInfo,LastSoldYear,SizeRank
951,2.0,2.0,1326.0, Medium,Condo,2.0,2005.0,26.591287,-80.049879,Lantana,Palm Beach County,X500   (),flood_factor_high,2017.0,2534
466,3.0,2.0,1774.0, Medium,Single Family Home,29.0,1983.0,28.399131,-80.81379799999998,Cocoa,Brevard County,X   (),flood_factor_low,2017.0,5353
828,3.0,2.0,1650.0, Medium,Single Family Home,30.0,1977.0,30.330654,-81.40158199999998,Atlantic Beach,Duval County,A   (),flood_factor_high,2012.0,4161
26,3.0,3.5,2733.0, Low,Single Family Home,61.0,2013.0,27.30307100000001,-80.430589,Port Saint Lucie,St. Lucie County,X   (),flood_factor_low,2014.0,3044
578,2.0,2.0,1672.0, Medium,Condo,12.0,1991.0,26.417644,-80.065297,Highland Beach,Palm Beach County,AE   (),flood_factor_high,2019.0,4129
767,3.0,2.0,1422.0, N/A,Single Family Home,78.0,1997.0,24.673795000000002,-81.390079,Summerland Key,Monroe County,AE   (),flood_factor_high,2015.0,9917
81,3.0,3.0,2350.0, Low,Single Family Home,35.0,2019.0,28.21275300000001,-82.626727,Odessa,Pasco County,A   (),flood_factor_low,2019.0,4485
344,4.0,2.0,1900.0, Low,Single Family Home,9.0,2016.0,30.099245,-81.860957,Middleburg,Clay County,X   (),flood_factor_low,2016.0,753
1028,4.0,2.5,2284.0, Medium,Single Family Home,29.0,1997.0,27.232996000000004,-80.264911,Jensen Beach,Martin County,X   (),flood_factor_low,2019.0,2713
126,3.0,2.0,1448.0, Low,Single Family Home,36.0,1963.0,28.149234999999997,-80.597347,Satellite Beach,Brevard County,X   (),flood_factor_high,2015.0,3357
1026,3.0,3.0,2874.0, Medium,Single Family Home,72.0,1956.0,26.010434,-80.12441,Hollywood,Broward County,AE   (),flood_factor_high,2006.0,4125
770,3.0,2.0,1500.0, N/A,Single Family Home,96.0,1998.0,30.521414,-81.791942,Callahan,Nassau County,X   (),flood_factor_low,2009.0,7620
630,5.0,4.0,3652.0, Medium,Single Family Home,35.0,1950.0,25.735343,-80.268908,Miami,Miami-Dade County,X   (),flood_factor_high,2011.0,1598
20,4.0,2.0,3142.0, Low,Single Family Home,33.0,1987.0,28.161044,-82.788128,Tarpon Springs,Pinellas County,AE   (),flood_factor_high,2020.0,3087
172,5.0,2.0,1408.0, Medium,Single Family Home,22.0,1957.0,26.585808,-80.063439,Lantana,Palm Beach County,X   (),flood_factor_low,2017.0,2534
227,3.0,1.0,1184.0, Medium,Single Family Home,226.0,1954.0,25.936425,-80.170687,North Miami Beach,Miami-Dade County,X   (),flood_factor_low,2020.0,2819
821,2.0,2.0,1092.0, Medium,Condo,20.0,1969.0,25.992894,-80.134887,Hallandale Beach,Broward County,AE   (),flood_factor_high,2017.0,230
204,3.0,2.5,1892.0, Medium,Single Family Home,183.0,1990.0,28.360037,-82.699912,Hudson,Pasco County,AE   (),flood_factor_high,2019.0,1435
75,2.0,2.0,1112.0, Medium,Condo,61.0,1989.0,25.997276,-80.297027,Pembroke Pines,Broward County,X500   (),flood_factor_low,2018.0,96
